,ad_title,ad_link,ad_bedroom,ad_bathroom,ad_size,ad_price,location
335,BRAND NEW LUXURY APARTMENT IN SEEF AREA.,/en/buy/apartment-for-sale-capital-governorate-seef-466032.html,2,2,133,90000.0,Bahrain
336,"Freehold W Private Pool, Garden, Garage",/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-465772.html,3,4,300,252050.0,Bahrain
337,Get ready to experience this lavish 3BR!,/en/buy/apartment-for-sale-capital-governorate-manama-abraj-al-lulu-465288.html,3,5,197,135000.0,Bahrain
338,The Courtyard corner unit 1 Bedroom Seef Mall view,/en/buy/apartment-for-sale-capital-governorate-seef-471441.html,1,1,65,58500.0,Bahrain
339,Lovely stylish villa in a great location,/en/buy/villa-for-sale-northern-governorate-janabiya-452126.html,4,4,295,200000.0,Bahrain
340,"Unique, Modern Interior design /sea view",/en/buy/apartment-for-sale-capital-governorate-seef-458586.html,2,3,110,110000.0,Bahrain
341,"Brand new, Bright and Spacious with Garage",/en/buy/villa-for-sale-northern-governorate-hamala-451862.html,4,4,220,125000.0,Bahrain
342,Enviable Water Front Location-Negotiable for Cash!,/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-481367.html,1,2,76,99000.0,Bahrain
343,It’s time to invest in your home-in Dilmunia,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-essence-of-dilmunia-477017.html,1,2,88,52000.0,Bahrain
344,Luxury Villa Available for Sale in Riffa Views,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-475949.html,4,4,565,275000.0,Bahrain
345,2 BED PENTHOUSE DUPLEX+Roof Top Pool+Maids Room!!!,/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-475447.html,2,4,400,310000.0,Bahrain
346,Desirable Signature Villa with landscape garden,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-al-sharqi-410685.html,5,6,715,570000.0,Bahrain
347,New luxury design villa in quiet area (Saar),/en/buy/villa-for-sale-northern-governorate-saar-472972.html,6,6,287,165000.0,Bahrain
348,Magnificent Sea View 5 BR Beach Villa @ Durrat,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473048.html,5,7,1000,425000.0,Bahrain
349,Beautifully Landscaped 5 BR Beach Villa @ Durrat,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473053.html,5,7,1500,780000.0,Bahrain
350,Breathtaking 4 BR 800sqm Patel 4 Villa @ Durrat,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-474222.html,4,7,800,450000.0,Bahrain
351,Astonishing 5 BR Villa W Pool at Riffa Views,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-475661.html,5,6,609,350000.0,Bahrain
352,Royal Studio For Sal In Catamaran Tower.,/en/buy/apartment-for-sale-capital-governorate-seef-475034.html,4,1,54,47000.0,Bahrain
353,Bright | Semi furnished | Great location | Brand New,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-486947.html,2,2,98,55000.0,Bahrain
354,Astonishing 5 BR Villa W Pool at Riffa Views,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-400393.html,5,6,660,350000.0,Bahrain
355,Own Your Villa Now & Start Paying Later,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-423512.html,4,5,308,163500.0,Bahrain
356,Spacious two bed apartment with balcony,/en/buy/apartment-for-sale-capital-governorate-al-juffair-471913.html,2,2,118,75000.0,Bahrain
357,"Villa For Sale in Isa Town 140,000",/en/buy/villa-for-sale-central-governorate-isa-town-452326.html,4,4,268,140000.0,Bahrain
358,Excellent selling price for this lovely apartment,/en/buy/apartment-for-sale-capital-governorate-seef-486884.html,1,2,60,55000.0,Bahrain
359,Great Deal Sea view | Fully Renovated Apt,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-486972.html,2,2,111,75000.0,Bahrain
360,Super Deal | Sea View 2BR | Mena 7 Beach |Garden,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-al-marsa-floating-city-486975.html,2,2,124,79000.0,Bahrain
361,Sea view | High floor | Great location,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-486938.html,2,2,92,61900.0,Bahrain
362,Budget Deal | Free Hold 2 BR 3 Baths | Apt Sale,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-486974.html,2,2,115,55000.0,Bahrain
363,Brand-new luxury unit with unobstructed sea view,/en/buy/apartment-for-sale-capital-governorate-al-juffair-486899.html,1,2,76,72000.0,Bahrain
364,Mena 7 | 2 BR + half room | Beach | Garden | Pools,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-486969.html,3,3,185,85000.0,Bahrain
365,Brand New - Free Hold - Top Developer,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-486393.html,1,2,88,63500.0,Bahrain
366,One Bedroom Duplex flat sea view and balcony .,/en/buy/apartment-for-sale-capital-governorate-al-juffair-486520.html,1,2,110,68000.0,Bahrain
367,Pay only 30% & MOVE IN Seaview 2 BR,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-486310.html,2,3,149,212973.0,Bahrain
368,Rented 2 Bedrooms flat at JFR HTS for sale...,/en/buy/apartment-for-sale-capital-governorate-al-juffair-486508.html,2,2,113,59000.0,Bahrain
369,Colorful interior and vibrant lifestyle.,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-naseem-482892.html,4,5,301,262445.0,Bahrain
370,Villa in the Jid Alhaj area near the sea,/en/buy/villa-for-sale-northern-governorate-jid-al-haj-483353.html,4,5,175,112000.0,Bahrain
371,High Floor | Sea Views | Walk Track,/en/buy/apartment-for-sale-capital-governorate-al-juffair-484556.html,1,1,52,45000.0,Bahrain
372,"Luxury,5 Star services! next to cc mall! 2.5+Maid",/en/buy/apartment-for-sale-capital-governorate-seef-482872.html,3,5,147,138800.0,Bahrain
373,Sea View -  Duplex - Beach Access,/en/buy/apartment-for-sale-capital-governorate-seef-485399.html,1,2,112,110000.0,Bahrain
374,New - Free Hold - Payment Plan - Facilities,/en/buy/apartment-for-sale-capital-governorate-seef-485663.html,3,5,182,143000.0,Bahrain
375,Higher Floor 03 bedroom + store + balcony for sale,/en/buy/apartment-for-sale-capital-governorate-seef-485596.html,3,4,172,85000.0,Bahrain
376,Amazing View | Private entrance | rental income,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-al-marsa-floating-city-481850.html,1,2,83,55000.0,Bahrain
377,"Furnished, New 5 Star facilities walk to mall!",/en/buy/apartment-for-sale-capital-governorate-seef-480972.html,1,3,68,69000.0,Bahrain
378,Direct beach access one bedroom apartment for sale,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-485613.html,1,1,67,65000.0,Bahrain
379,Great Villa | Spacious | Garden | Parking,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sherooq-485673.html,4,5,216,145000.0,Bahrain
380,Off Plan - Beach Access - 3 Years Payment Plan,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-485400.html,3,4,142,126888.0,Bahrain
381,Durrat -Faryooz villa for sale with Jetty,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473677.html,5,6,800,455000.0,Bahrain
382,Residential land for a Villa in Bu-quwah,/en/buy/land-for-sale-northern-governorate-sehla-475101.html,5,6,766,206373.0,Bahrain
383,Luxurious Modern Villa with Swimming Pool,/en/buy/villa-for-sale-northern-governorate-saar-475261.html,5,6,338,265000.0,Bahrain
384,Luxurious 5 BR Villa in Saraya 1 Saar,/en/buy/villa-for-sale-northern-governorate-saar-475651.html,5,6,500,219000.0,Bahrain
385,For sale villa in Saar - excellent location,/en/buy/villa-for-sale-northern-governorate-saar-473536.html,1,2,376,255000.0,Bahrain
386,WATERFRONT LOCATION! & A 5 Years Payment Plan!,/en/buy/apartment-for-sale-capital-governorate-manama-bahrain-financial-harbour-475244.html,1,2,97973,97973.0,Bahrain
387,"""Spiral Orchid"" Duplex 1BR,Sea View",/en/buy/apartment-for-sale-capital-governorate-seef-449472.html,5,4,112,113000.0,Bahrain
388,Luxurious 2BR+Study @Fontana Towers,/en/buy/apartment-for-sale-capital-governorate-al-juffair-473323.html,2,3,160,100000.0,Bahrain
389,Fully furnished Apartment with ( Swimming Pool ),/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-marina-472542.html,2,2,143,74000.0,Bahrain
390,Under construction villa in a very good location,/en/buy/villa-for-sale-northern-governorate-sadad-467712.html,4,4,300,139000.0,Bahrain
391,Sea View 3BR with Hotel membership!,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-466815.html,3,3,210,100000.0,Bahrain
392,Freehold Moroccon-Style Villa with Elevator,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-453830.html,5,4,201,176700.0,Bahrain
393,Brand New With a great View at Argan Village,/en/buy/villa-for-sale-northern-governorate-bu-quwah-saraya-2-462425.html,4,7,306,145000.0,Bahrain
394,** Modern Seaview Villa in Jannusan area,/en/buy/villa-for-sale-northern-governorate-jannusan-435239.html,4,7,248,159000.0,Bahrain
395,Park Estate Spacious 3BR Villa @ Riffa Views,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-439520.html,3,5,838,280000.0,Bahrain
396,Freehold Luxury with Modern Design & Balcony,/en/buy/apartment-for-sale-capital-governorate-manama-al-burhama-453758.html,1,1,60,47500.0,Bahrain
397,"Luxurious Modern Design, Spacious, High Taste",/en/buy/villa-for-sale-central-governorate-sanad-444834.html,6,7,234,185000.0,Bahrain
398,"F.F studio near LMRA with GYM and  Pool,",/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-440249.html,4,1,40,32000.0,Bahrain
399,"F.F Brand new Studio, pool,GYM,kids area",/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-433993.html,4,1,43,57000.0,Bahrain
400,Elegant apartment at attractive price,/en/buy/apartment-for-sale-capital-governorate-seef-465570.html,2,2,101,55605.0,Bahrain
401,"Well F.Faprt.Steps to LMRA,GYM,and Pool.",/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-410118.html,1,1,68,52000.0,Bahrain
402,OFFER!! Marassi Park with Payment Plan,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-462056.html,2,2,90,84888.0,Bahrain
403,Amazing Triplex Flat Near To st.Christopher,/en/buy/penthouse-for-sale-northern-governorate-saar-460373.html,3,4,186,110000.0,Bahrain
404,"""Fully furnished apartment In Fontana Infinity",/en/buy/apartment-for-sale-capital-governorate-al-juffair-469445.html,1,2,76,76000.0,Bahrain
405,"Direct Access to Beach, Luxurious Life Style",/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-shores-residences-381514.html,1,1,115,91888.0,Bahrain
406,Free Hold Apartment with elegance and style,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-384305.html,2,2,104,118000.0,Bahrain
407,A stunning ten-story structure in Bahrain Bay,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-384301.html,1,1,47,60100.0,Bahrain
408,Lagoon Estate 4 BR Villa at Riffa Views,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-400417.html,4,5,524,245000.0,Bahrain
409,*Balcony*Luxury*1 Bedroom Prime Area,/en/buy/apartment-for-sale-capital-governorate-seef-375270.html,1,2,71,53000.0,Bahrain
410,Great Amenities boasting high-end Architecture,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-382888.html,2,1,88,84888.0,Bahrain
411,Amazing Villa With Elevator  Hamal Hills,/en/buy/villa-for-sale-northern-governorate-janabiya-356813.html,4,6,404,225000.0,Bahrain
412,2  STOREY VILLA FOR SALE IN HAMAD TOWN,/en/buy/villa-for-sale-northern-governorate-hamad-town-425389.html,7,4,432,155000.0,Bahrain
413,"Unique, Modern Interior design /sea view",/en/buy/apartment-for-sale-capital-governorate-seef-458633.html,2,2,118,110000.0,Bahrain
414,Classic fully furnished villa in Saraya 1,/en/buy/villa-for-sale-northern-governorate-saar-456419.html,4,7,454,265000.0,Bahrain
415,Land Available for Sale in Saraya1 Area,/en/buy/land-for-sale-northern-governorate-maqabah-456974.html,2,2,385,120180.0,Bahrain
416,Fabulous Fully Sea View Freehold Apartment,/en/buy/apartment-for-sale-southern-governorate-durrat-marina-465766.html,5,6,110,73500.0,Bahrain
417,Large Plot 5BR Corner Villa @ Riffa Views,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-442132.html,2,3,1128,375000.0,Bahrain
418,Furnished Freehold Flat Minutes From Seef,/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-439798.html,4,6,111,69000.0,Bahrain
419,Own an Apartment with 10% Down payment only,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-480386.html,2,3,140,75000.0,Bahrain
420,Rent to Own | For Expats | With Sea View,/en/buy/apartment-for-sale-capital-governorate-hoora-exhibition-road-481148.html,1,1,70,450.0,Bahrain
421,"Prime location land, good to build a villa",/en/buy/land-for-sale-muharraq-governorate-arad-481997.html,5,7,451,145604.0,Bahrain
422,Private Renovated Home Near Saar Mall,/en/buy/villa-for-sale-northern-governorate-saar-479802.html,2,2,528,250000.0,Bahrain
423,Freehold - Luxury - Spacious - Furnished,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-the-lagoon-480984.html,2,3,125,63000.0,Bahrain
424,STUNNING SEA VIEW w/TERACE 4YEARS PAYMENT PLAN,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-478875.html,3,4,247,247888.0,Bahrain
425,Wake up to a refreshing idyllic waterfront living.,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-485122.html,4,4,142,131888.0,Bahrain
426,1 BR for sale in Dilmunia with balcony,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-the-treasure-476843.html,1,1,90,53000.0,Bahrain
427,Fabulous two Bedroom semi-furnished apartment,/en/buy/apartment-for-sale-capital-governorate-reef-island-485015.html,2,3,127,108000.0,Bahrain
428,Perfect modern apartment with excellent facilities,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-essence-of-dilmunia-485010.html,1,2,82,60000.0,Bahrain
429,World class resort amenities-1st time for,/en/buy/apartment-for-sale-capital-governorate-al-juffair-475106.html,2,2,104,89999.0,Bahrain
430,Reef island- sea view 2br apartment sale,/en/buy/apartment-for-sale-capital-governorate-reef-island-475654.html,2,3,132,129999.0,Bahrain
431,HURRY BOOK NEW VILLAS FOR SOCIAL HOUSING,/en/buy/villa-for-sale-northern-governorate-karrana-475028.html,4,4,150,100000.0,Bahrain
432,3 YEARS PAYMENT PLAN-FREEHOLD-APARTMENTS,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-470865.html,3,3,142,126888.0,Bahrain
433,Luxuriously FF Sea View 5 BR Villa W Pool,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-473068.html,5,7,1500,800000.0,Bahrain
434,Luxury villas fantastic prices (pool+central AC),/en/buy/villa-for-sale-northern-governorate-barbar-471347.html,4,5,301,152000.0,Bahrain
435,Residential/Investment land located in Hamad Town,/en/buy/land-for-sale-northern-governorate-hamad-town-453412.html,1,2,605,107469.0,Bahrain
436,New | Free Hold | Luxury | Balcony | pool | Cinema,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-essence-of-dilmunia-439224.html,4,5,88,55000.0,Bahrain
437,4 BR Modern Villa New Township  for Sale,/en/buy/villa-for-sale-northern-governorate-budaiya-437735.html,4,6,398,178000.0,Bahrain
438,Amazing Villa With Elevator  Hamal Hills,/en/buy/villa-for-sale-northern-governorate-janabiya-436647.html,2,3,404,240000.0,Bahrain
439,Duplex Apartment With Private Entrance,/en/buy/duplex-for-sale-capital-governorate-reef-island-468325.html,3,5,253,199000.0,Bahrain
440,BARGAIN !!! SEMI FURNISHED - BALCONY,/en/buy/apartment-for-sale-capital-governorate-reef-island-445370.html,2,3,126,110000.0,Bahrain
441,ST at Busaiteen Near King Hamad Hospital,/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-440315.html,4,1,61,32000.0,Bahrain
442,Luxurious one bedroom duplex in a prime location,/en/buy/apartment-for-sale-capital-governorate-seef-445991.html,1,2,71,75000.0,Bahrain
443,"Beachfront Compound, Gated Family Community, Tala",/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-458372.html,2,2,151,85000.0,Bahrain
444,Refurbished Townhouse with a Large Garden,/en/buy/villa-for-sale-southern-governorate-riffa-riffa-views-437262.html,2,3,242,145000.0,Bahrain
445,New / Fully Furnished Villas in a PRIME LOCATION!,/en/buy/villa-for-sale-northern-governorate-janabiya-399588.html,3,4,282,178000.0,Bahrain
446,Villa for sale in Saar with a very large garden.,/en/buy/villa-for-sale-northern-governorate-saar-390903.html,6,6,1750,699000.0,Bahrain
447,Best Deal: Building for Sale in Janabiya,/en/buy/whole-building-for-sale-northern-governorate-janabiya-249824.html,1,1,360,765000.0,Bahrain
448,"Connected to Marassi Galleria,Near Beach",/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-residences-381517.html,6,7,60,83888.0,Bahrain
449,Magnificent Mansion SF 6 BR With pool @ Burhama,/en/buy/villa-for-sale-capital-governorate-manama-al-burhama-375608.html,4,4,858,1100000.0,Bahrain
450,Bahraini-Style 4BR Villa with Private Garden,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-al-sidra-453926.html,4,6,210,172500.0,Bahrain
451,Diyar Muharraq- Luxury SemiAttached Home,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-450338.html,5,5,315,210000.0,Bahrain
452,Villa with a great opportunity for investment,/en/buy/villa-for-sale-capital-governorate-manama-um-al-hasam-436491.html,2,2,128,520000.0,Bahrain
453,Ideal Family Home or Investment Opportunity,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-441247.html,2,2,113,116000.0,Bahrain
454,Abraj Al Lulu - Black Tower - 3 Bedrooms,/en/buy/apartment-for-sale-capital-governorate-manama-abraj-al-lulu-463426.html,3,4,200,125000.0,Bahrain
455,"Freehold available, ideal for family end-user",/en/buy/apartment-for-sale-muharraq-governorate-hidd-466054.html,2,2,106,55000.0,Bahrain
456,Brand new freehold apartment with Sea View,/en/buy/apartment-for-sale-muharraq-governorate-hidd-470856.html,2,2,111,56000.0,Bahrain
457,The Courtyard spacious freehold luxury 1BR in Seef,/en/buy/apartment-for-sale-capital-governorate-seef-471256.html,1,2,89,73500.0,Bahrain
458,Villa for sale in Sanad close to all services,/en/buy/villa-for-sale-central-governorate-sanad-471855.html,4,3,320,130000.0,Bahrain
459,The Courtyard upscale freehold premium 1BR in Seef,/en/buy/apartment-for-sale-capital-governorate-seef-471440.html,1,2,71,62500.0,Bahrain
460,Modern High-End New Villa in Sanad,/en/buy/villa-for-sale-central-governorate-sanad-473126.html,6,7,410,165000.0,Bahrain
461,Modern  2 BR Flat W Infinity Pool and Cinema !,/en/buy/apartment-for-sale-capital-governorate-al-juffair-486403.html,2,2,100,80000.0,Bahrain
462,1-Bedroom Flat for Sale in the Heart of Juffair,/en/buy/apartment-for-sale-capital-governorate-al-juffair-481956.html,1,2,78,55000.0,Bahrain
463,Best Deal Bright City View 2 Balconies,/en/buy/apartment-for-sale-capital-governorate-seef-481799.html,3,2,176,93000.0,Bahrain
464,Balcony with a lagoon view | Private entrance,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-al-marsa-floating-city-480785.html,1,1,84,55000.0,Bahrain
465,Investment deal in the heart of Juffair,/en/buy/apartment-for-sale-capital-governorate-al-juffair-480152.html,2,2,120,62000.0,Bahrain
466,Luxury villa in the best location / large garden,/en/buy/villa-for-sale-northern-governorate-janabiya-479881.html,5,5,352,173000.0,Bahrain
467,Spacious sea view apartment with a balcony,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-al-marsa-floating-city-480157.html,2,2,100,75000.0,Bahrain
468,Great investment | Extended Villa | Rented,/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-al-marsa-floating-city-480166.html,3,5,275,275000.0,Bahrain
469,New I Sea/City View I Freehold* I 2 Balconies I,/en/buy/apartment-for-sale-muharraq-governorate-hidd-480448.html,3,3,129,65000.0,Bahrain
470,AMAZING SEA VIEW 3YRS PAYMENT PLAN! BEACH ACESS,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-476699.html,2,2,98,129888.0,Bahrain
471,Astonishing 3BR Villa @ Durrat Al Bahrain,/en/buy/villa-for-sale-southern-governorate-durrat-al-bahrain-476286.html,3,4,500,260000.0,Bahrain
472,للبيع ارض في دلمونيا بسعر خيالي قريبة من البحر,/en/buy/land-for-sale-muharraq-governorate-dilmunia-island-the-treasure-478946.html,1,2,509,137133.0,Bahrain
473,STUNNING SPACIOUS FLATS w/CANAL & SEA VIEW,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-canal-view-478879.html,5,6,88,62100.0,Bahrain
474,RB Residential Land in Quiet Neighborhood,/en/buy/land-for-sale-central-governorate-nuwaidrat-477457.html,3,4,389,113054.0,Bahrain
475,villa on a corner near To Saraya 1 area,/en/buy/villa-for-sale-northern-governorate-muqabah-477948.html,3,3,435,310000.0,Bahrain
476,5 YEARS PAYMENT PLAN 0%INTEREST BEACH ACCESS,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-475205.html,3,4,117,124888.0,Bahrain
477,Hot Offer In Juffair 2BHK For Sale Urgent,/en/buy/apartment-for-sale-capital-governorate-al-juffair-475572.html,2,2,115,48000.0,Bahrain
478,Luxury Apartment for sale + Balcony 80m,/en/buy/apartment-for-sale-capital-governorate-al-juffair-360190.html,1,1,80,53000.0,Bahrain
479,"Residential land for sale, located in Shakhurah",/en/buy/land-for-sale-northern-governorate-shakhura-383485.html,2,2,442,109501.0,Bahrain
480,Flat w/ Natural lights from floor-to-ceiling,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-384304.html,5,5,118,125000.0,Bahrain
481,For sale luxury villa with garden in a quiet area,/en/buy/villa-for-sale-northern-governorate-saar-409433.html,2,2,435,310000.0,Bahrain
482,Brandnew! Semi- Furnished  and Sea views,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-boulevard-454925.html,1,1,57,56000.0,Bahrain
483,Free Hold | Sea View | Near RCSI,/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-460671.html,2,2,98,60000.0,Bahrain
484,Brand new and luxury villa in Saar,/en/buy/villa-for-sale-northern-governorate-saar-438692.html,4,5,361,219000.0,Bahrain
485,Luxurious 4 BR Villa in Saraya 1 Saar,/en/buy/villa-for-sale-northern-governorate-saar-457008.html,4,7,550,255000.0,Bahrain
486,"Beachfront Modern House,Elevator,Basement parking",/en/buy/villa-for-sale-muharraq-governorate-amwaj-islands-najma-458396.html,5,6,484,360000.0,Bahrain
487,Hot Offer In Juffair 2BHK For Sale Urgent,/en/buy/apartment-for-sale-capital-governorate-al-juffair-441927.html,2,2,87,44000.0,Bahrain
488,Brand New | Restaurant |Spa | Golf Course,/en/buy/apartment-for-sale-capital-governorate-al-juffair-445458.html,2,3,118,85000.0,Bahrain
489,Amazing 2 Bedroom at Reef Island with sea View,/en/buy/apartment-for-sale-capital-governorate-reef-island-439982.html,2,3,129,115000.0,Bahrain
490,Free Hold | Sea View | Maids Room | Big Kitchen,/en/buy/apartment-for-sale-capital-governorate-manama-sanabis-465170.html,3,5,201,115000.0,Bahrain
491,Spacious Comfort Apartment fits Big Families,/en/buy/apartment-for-sale-capital-governorate-al-juffair-465552.html,3,3,182,70000.0,Bahrain
492,Mozoon Residential Plots               .,/en/buy/land-for-sale-muharraq-governorate-diyar-al-muharraq-al-bareh-461007.html,1,1,320,95000.0,Bahrain
493,Buy and Live in! Invest in a better tomorrow,/en/buy/apartment-for-sale-capital-governorate-al-juffair-458221.html,5,6,63,48000.0,Bahrain
494,Sea View- Beach Access- Semi Furnished Penthouse,/en/buy/penthouse-for-sale-muharraq-governorate-amwaj-islands-tala-island-458899.html,3,3,608,270000.0,Bahrain
495,"Modern Apartment, high quality finishing, invest",/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-452343.html,2,2,178,92000.0,Bahrain
496,"Live by the sea close to the beach, Quiet Location",/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-458377.html,2,3,171,95000.0,Bahrain
497,Apartment  for  Sale  in  Tala  Island !,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-tala-island-249826.html,2,2,141,120000.0,Bahrain
498,Super deal!! Gorgeous 2br apt in the best area!,/en/buy/apartment-for-sale-capital-governorate-reef-island-454776.html,2,3,129,122000.0,Bahrain
499,Amazing Offer Flat for sale in seef area,/en/buy/apartment-for-sale-capital-governorate-seef-436639.html,2,2,78,65000.0,Bahrain
500,"F.F 1 bedroom, huge Pool,GYM, Game area,",/en/buy/apartment-for-sale-capital-governorate-al-juffair-434542.html,1,2,76,52000.0,Bahrain
501,Commercial Residential land for sale in Shakhura,/en/buy/land-for-sale-northern-governorate-shakhura-438635.html,3,4,498,117930.0,Bahrain
502,Pay 20% & Move in with Direct Mall Access,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-al-bahrain-440442.html,2,2,156,168888.0,Bahrain
503,Off Plan - Free Hold - Flexible Payment Plan,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-486389.html,2,3,104,104000.0,Bahrain
504,اغتنم الفرصة-للبيع فيلا في سلماباد!!,/en/buy/villa-for-sale-central-governorate-salmabad-486510.html,3,4,230,135000.0,Bahrain
505,ULTIMATE WATERFRONT  LIVING-5 Br Penthouse,/en/buy/penthouse-for-sale-capital-governorate-manama-bahrain-financial-harbour-483055.html,5,5,454,750000.0,Bahrain
506,Grab this opportunity to live in  Bahrain Bay!,/en/buy/apartment-for-sale-capital-governorate-bahrain-bay-483691.html,4,1,42,60000.0,Bahrain
507,Balcony | Open kitchen | Partial sea view,/en/buy/apartment-for-sale-muharraq-governorate-amwaj-islands-amwaj-avenue-482667.html,3,3,168,92000.0,Bahrain
508,Rare & Unique Grand 4 Bed Villa Near Saar,/en/buy/villa-for-sale-northern-governorate-saar-484559.html,4,4,600,260000.0,Bahrain
509,Affordable | Brand New | Villa | Spacious,/en/buy/villa-for-sale-muharraq-governorate-diyar-al-muharraq-madaen-483388.html,4,6,360,141000.0,Bahrain
510,Great Investment  | Spacious  |  Balcony,/en/buy/apartment-for-sale-capital-governorate-al-juffair-483541.html,2,3,128,75000.0,Bahrain
511,"Prime Location,Quite and on a high Floor",/en/buy/apartment-for-sale-capital-governorate-al-juffair-476907.html,4,1,70,66500.0,Bahrain
512,Great Investment with No service charge!,/en/buy/apartment-for-sale-muharraq-governorate-dilmunia-island-hanging-garden-476358.html,2,4,173,81272.0,Bahrain
513,Luxury freehold 3br+ balcony-Beach acces,/en/buy/apartment-for-sale-muharraq-governorate-diyar-al-muharraq-marassi-residences-479037.html,3,4,159,129500.0,Bahrain
514,Hot Deal - sale 51k 1br in Fontana garden,/en/buy/apartment-for-sale-capital-governorate-al-juffair-477469.html,1,2,72,51000.0,Bahrain
515,Fully Furnished Luxury Flat for sale in Busaiteen,/en/buy/apartment-for-sale-muharraq-governorate-busaiteen-478418.html,2,2,97,65000.0,Bahrain
